job_title,seniority_level,status,company,location,post_date,headquarter,industry,ownership,company_size,revenue,salary,skills,salary_clean,revenue_clean,company_size_clean
data scientist,senior,on-site,company_273,"Redmond, WA",a month ago,"Menlo Park, CA, US",Technology,Public,"94,540",€230.42B,"€121,475 - €255,734","['sql', 'machine learning', 'r', 'python']",1.21E+11,230.42,94540
data scientist,lead,hybrid,company_276,Hybrid,a month ago,"Atlanta, GA, US",Technology,Private,360,€3.09B,"€294,100",[],294100,3.09,360
data scientist,Uknown,on-site,company_279,"San Francisco, California . On-site",8 days ago,"San Francisco, CA, US",Technology,Private,500,Private,"€127,874 - €155,273",[],1.28E+11,0,500
machine learning engineer,senior,uknown,company_106,"Pune, Maharashtra, India",2 days ago,"København, DK",Logistics,Private,"38,130",€34.32B,"€26,760","['spark', 'aws', 'powerbi', 'python', 'docker', 'sql', 'machine learning', 'gcp', 'kubernetes', 'deep learning', 'azure']",26760,34.32,38130
data scientist,midlevel,remote,company_280,"Annapolis Junction, MD . Annapolis, MD . Fully Remote",a month ago,"Annapolis, MD, US",Technology,Private,60,Private,"€109,600 - €182,666","['linux', 'machine learning', 'python']",1.10E+11,0,60
data scientist,senior,remote,company_282,"Rosemont, IL",5 days ago,"Rosemont, IL, US",Healthcare,Public,"28,070",Public,"€68,501 - €109,601","['git', 'r', 'python', 'bash', 'sql', 'machine learning', 'deep learning']",68501109601,0,28070
data scientist,lead,hybrid,company_115,"New York, NY . Hybrid",a month ago,"Frankfurt am Main, HE, DE",Finance,Public,"68,430",Public,"€137,002","['pandas', 'numpy', 'scikit-learn', 'python', 'sql', 'hadoop']",137002,0,68430
data scientist,senior,uknown,company_207,"Hyderabad, Telangana, India",10 days ago,"Boise, ID, US",Technology,Public,"40,050",€55.39B,"€24,621","['pytorch', 'r', 'python', 'sql', 'machine learning', 'deep learning', 'tensorflow', 'tableau']",24621,55.39,40050
data scientist,junior,uknown,company_047,"Bengaluru, Karnataka, India",a month ago,"Bengaluru, KA, IN",Technology,Public,"222,040",€24.21B,"€10,055","['deep learning', 'machine learning']",10055,24.21,222040
data scientist,senior,on-site,company_288,"Chantilly, VA . On-site",a month ago,"Reston, VA, US",Technology,Public,"26,030",€63.09B,"€114,171","['aws', 'azure']",114171,63.09,26030
data scientist,senior,uknown,company_290,"Pune, Maharashtra, India",8 days ago,"London, GB",Finance,Public,"68,160",€26.63B,"€29,949 - €41,758","['powerbi', 'aws', 'python', 'sql', 'machine learning', 'tableau']",2994941758,26.63,68160
data scientist,senior,uknown,company_291,"Bengaluru, Karnataka, India",5 days ago,"Bengaluru, KA, IN",Technology,Public,"261,060",€70.98B,"€9,583","['aws', 'r', 'python', 'sql', 'neural network', 'gcp', 'azure']",9583,70.98,261060
data scientist,senior,on-site,company_141,"Orlando, FL",a month ago,"Bethesda, MD, US",Technology,Public,"108,650",€116.88B,"€68,500",['machine learning'],68500,116.88,108650
data scientist,senior,remote,company_293,"Bengaluru, Karnataka, India",3 months ago,"Bengaluru, KA, IN",Technology,Private,"15,440",€10.22B,"€36,104","['spark', 'python', 'sql', 'machine learning', 'deep learning', 'tensorflow']",36104,10.22,15440
data scientist,senior,hybrid,company_295,"Montreal, Quebec, Canada . Hybrid",5 days ago,"Dartmouth, NS, CA",Technology,Private,31,Private,"€55,906","['pandas', 'numpy', 'pytorch', 'aws', 'scikit-learn', 'python', 'sql', 'machine learning']",55906,0,31
data scientist,midlevel,hybrid,company_296,"Lebanon, NH . Hybrid",17 days ago,"Bridgewater, NJ, US",Healthcare,Public,613,Public,"€81,293 - €108,937","['machine learning', 'python']",81293108937,0,613
data scientist,midlevel,on-site,company_166,"Veldhoven, North Brabant, Netherlands . On-site",8 days ago,"Veldhoven, NB, NL",Technology,Public,"24,820",€173.56B,"€82,373",['python'],82373,173.56,24820
data scientist,senior,remote,company_298,United States,15 days ago,"Draper, UT, US",Healthcare,Public,"1,020",Public,"€88,140 - €136,089","['sql', 'azure', 'r', 'python']",88140136089,0,1020
data scientist,senior,uknown,company_303,"New York, NY",22 days ago,"Irving, TX, US",Technology,Public,"11,060",Public,"€114,175 - €118,741","['aws', 'git', 'python', 'sql', 'gcp', 'machine learning']",1.14E+11,0,11060
data scientist,senior,on-site,company_034,"Annapolis Junction, MD",a month ago,"Baltimore, MD, US",Technology,Private,45,Private,"€178,100 - €210,980","['sql', 'machine learning', 'r', 'python']",1.78E+11,0,45
data scientist,senior,uknown,company_305,"Budapest, Budapest, Hungary",a month ago,"New York, NY, US",Finance,Public,"88,990",€132.46B,"€27,403","['machine learning', 'python']",27403,132.46,88990
data scientist,midlevel,remote,company_306,"Fort Meade, MD . Fort Meade, Maryland, Birleşik Devletler . Fully Remote",3 months ago,"Fulton, MD, US",Technology,Private,90,Private,"€127,871 - €178,103","['sql', 'machine learning', 'r', 'python']",1.28E+11,0,90
data scientist,senior,on-site,company_308,"Mountain View, CA",15 days ago,"Redmond, WA, US",Technology,Public,"182,338",€1.73T,"€171,712 - €277,840","['sql', 'python']",1.72E+11,1.73,182338
data scientist,senior,uknown,company_309,"Bengaluru, Karnataka, India",19 days ago,"New York, NY, US",Technology,Private,"3,540",Private,"€19,234","['pytorch', 'aws', 'git', 'python', 'docker', 'gcp', 'azure', 'tensorflow']",19234,0,3540
data scientist,lead,on-site,company_310,Antwerp Metropolitan Area,2 days ago,"Arlington, VA, US",Technology,Public,"20,070",Public,"€90,697","['powerbi', 'tableau']",90697,0,20070
machine learning engineer,Uknown,on-site,company_312,"San Francisco, CA . Seattle, WA . New York, NY . On-site",13 days ago,"Montreal, QC, CA",Technology,Private,31,Private,"€200,939 - €296,838",[],2.01E+11,0,31
data scientist,senior,on-site,company_315,United States,9 days ago,"Austin, TX, US",Technology,Public,"212,610",€188.01B,"€99,744 - €204,046","['pytorch', 'aws', 'r', 'python', 'docker', 'machine learning', 'kubernetes', 'deep learning', 'tensorflow']",99744204046,188.01,212610
data scientist,senior,on-site,company_316,"Dublin, County Dublin, Ireland",22 days ago,"Eden Prairie, MN, US",Healthcare,Public,"37,990",Public,"€52,987","['sql', 'azure', 'python']",52987,0,37990
data scientist,lead,uknown,company_251,"Alpharetta, GA",15 days ago,"Roseland, NJ, US",Technology,Public,"65,120",Public,"€115,086","['spark', 'aws', 'r', 'python', 'scala', 'java', 'sql', 'machine learning', 'hadoop', 'azure', 'tensorflow', 'tableau']",115086,0,65120
data scientist,senior,remote,company_318,United States,a month ago,"Dallas, TX, US",Technology,Public,"55,070",€14.86B,"€100,467",['machine learning'],100467,14.86,55070
machine learning engineer,senior,hybrid,company_008,"San Jose, CA . Hybrid",15 days ago,"San Jose, CA, US",Technology,Public,"34,690",€81.56B,"€125,584 - €216,003","['pandas', 'numpy', 'pytorch', 'spark', 'aws', 'scikit-learn', 'python', 'java', 'sql', 'machine learning', 'tensorflow']",1.26E+11,81.56,34690
data scientist,senior,on-site,company_324,United States . On-site,8 days ago,"Palo Alto, CA, US",Technology,Private,"2,540",€3.95B,"€137,003 - €150,703","['sql', 'machine learning', 'r', 'python']",1.37E+11,3.95,2540
machine learning engineer,senior,uknown,company_326,uknown,2 years ago,"Mumbai, MH, IN",Technology,Private,910,€7.41B,"€44,207",[],44207,7.41,910
data scientist,senior,remote,company_328,"Riverwoods, IL",10 days ago,"Riverwoods, IL, US",Technology,Public,"14,460",€26.53B,"€118,733 - €166,226","['sql', 'tableau']",1.19E+11,26.53,14460
data scientist,lead,on-site,company_336,"South San Francisco, CA",6 days ago,"South San Francisco, CA, US",Technology,Private,"14,040",Private,"€195,911",['machine learning'],195911,0,14040
data scientist,midlevel,remote,company_337,"Tallahassee, FL . Arlington, VA . Fully Remote",25 days ago,"Fairfax, VA, US",Finance,Public,"7,290",Public,"€131,219 - €223,067","['r', 'python', 'sql', 'machine learning', 'database', 'deep learning']",1.31E+11,0,7290
data scientist,senior,remote,company_339,Fully Remote,a month ago,"Chicago, IL, US",Technology,Private,960,€3.04B,"€164,405 - €226,054",[],1.64E+11,3.04,960
